Year,Status,20000,30000,40000,50000,70000,100000,150000,200000,250000,300000,500000,800000,1000000,1500000,2000000,5000000,10000000,20000000,50000000,100000000,500000000,1000000000
1954,Head of Household,0.21,0.21,0.24,0.24,0.26,0.32,0.39,0.47,0.52,0.54,0.68,0.76,0.8300000000000001,0.87,0.9,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1954,Married Filing Jointly,,,,,,,,,,,,,,,,,,,,,,
1954,Married Filing Seperately,0.22,0.22,0.26,0.26,0.3,0.38,0.47,0.56,0.62,0.62,0.75,0.84,0.89,0.9,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1954,Single,0.22,0.22,0.26,0.26,0.3,0.38,0.47,0.56,0.62,0.62,0.75,0.84,0.89,0.9,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1955,Head of Household,0.21,0.21,0.24,0.24,0.26,0.32,0.39,0.47,0.52,0.54,0.68,0.76,0.8300000000000001,0.87,0.9,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1955,Married Filing Jointly,0.2,0.2,0.22,0.22,0.22,0.26,0.3,0.38,0.43,0.47,0.59,0.6900000000000001,0.75,0.81,0.89,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1955,Married Filing Seperately,0.22,0.22,0.26,0.26,0.3,0.38,0.47,0.56,0.59,0.62,0.75,0.84,0.89,0.9,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1955,Single,0.22,0.22,0.26,0.26,0.3,0.38,0.47,0.56,0.59,0.62,0.75,0.84,0.89,0.9,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1956,Head of Household,0.21,0.21,0.24,0.24,0.26,0.32,0.39,0.47,0.52,0.54,0.68,0.76,0.8300000000000001,0.87,0.9,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1956,Married Filing Jointly,0.2,0.2,0.22,0.22,0.22,0.26,0.3,0.38,0.43,0.47,0.59,0.6900000000000001,0.75,0.81,0.89,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1956,Married Filing Seperately,0.22,0.22,0.26,0.26,0.3,0.38,0.47,0.56,0.59,0.62,0.75,0.84,0.89,0.9,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1956,Single,0.22,0.22,0.26,0.26,0.3,0.38,0.47,0.56,0.59,0.62,0.75,0.84,0.89,0.9,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1957,Head of Household,0.21,0.21,0.24,0.24,0.26,0.32,0.42,0.47,0.52,0.58,0.68,0.76,0.8300000000000001,0.87,0.9,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1957,Married Filing Jointly,0.2,0.2,0.22,0.22,0.22,0.26,0.34,0.38,0.43,0.5,0.62,0.6900000000000001,0.75,0.84,0.89,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1957,Married Filing Seperately,0.22,0.22,0.26,0.26,0.3,0.38,0.5,0.56,0.62,0.65,0.75,0.84,0.89,0.9,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1957,Single,0.22,0.22,0.26,0.26,0.3,0.38,0.5,0.56,0.62,0.65,0.75,0.84,0.89,0.9,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1958,Head of Household,0.21,0.21,0.24,0.24,0.26,0.32,0.42,0.49,0.52,0.58,0.68,0.76,0.8300000000000001,0.87,0.9,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1958,Married Filing Jointly,0.2,0.2,0.22,0.22,0.22,0.26,0.34,0.38,0.43,0.5,0.62,0.72,0.75,0.84,0.89,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1958,Married Filing Seperately,0.22,0.22,0.26,0.26,0.3,0.38,0.5,0.59,0.62,0.65,0.75,0.84,0.89,0.9,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1958,Single,0.22,0.22,0.26,0.26,0.3,0.38,0.5,0.59,0.62,0.65,0.75,0.84,0.89,0.9,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1959,Head of Household,0.21,0.21,0.24,0.24,0.26,0.32,0.42,0.49,0.54,0.58,0.68,0.76,0.8300000000000001,0.87,0.9,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1959,Married Filing Jointly,0.2,0.2,0.22,0.22,0.22,0.26,0.34,0.38,0.47,0.5,0.62,0.72,0.75,0.84,0.89,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1959,Married Filing Seperately,0.22,0.22,0.26,0.26,0.3,0.38,0.5,0.59,0.62,0.65,0.75,0.84,0.89,0.9,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1959,Single,0.22,0.22,0.26,0.26,0.3,0.38,0.5,0.59,0.62,0.65,0.75,0.84,0.89,0.9,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1960,Head of Household,0.21,0.21,0.24,0.24,0.26,0.32,0.42,0.49,0.54,0.58,0.68,0.8,0.8300000000000001,0.87,0.9,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1960,Married Filing Jointly,0.2,0.2,0.22,0.22,0.22,0.26,0.34,0.38,0.47,0.5,0.62,0.72,0.75,0.84,0.89,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1960,Married Filing Seperately,0.22,0.22,0.26,0.26,0.3,0.38,0.5,0.59,0.62,0.65,0.75,0.87,0.89,0.9,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1960,Single,0.22,0.22,0.26,0.26,0.3,0.38,0.5,0.59,0.62,0.65,0.75,0.87,0.89,0.9,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1961,Head of Household,0.21,0.21,0.24,0.24,0.3,0.32,0.42,0.49,0.54,0.58,0.68,0.8,0.8300000000000001,0.87,0.9,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1961,Married Filing Jointly,0.2,0.2,0.22,0.22,0.26,0.26,0.34,0.38,0.47,0.5,0.62,0.72,0.75,0.84,0.89,0.91,0.91,0.91,0.91,0.91,0.91,0.91
1961,Married Filing Seperately,0.22,0.22,0.26,0.26,0.34,0.38,0.5,0.59,0.62,0.65,0.75,0.87,0.89,0.9,0.91,0.91,0.91,0.91,0.91,0.91,0.91,0.91
